*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Hodgkin, Jonathan	Introduction to genetics and genomics	The C. elegans Research Community	WormBook	WormBook	September 6, 2005	1551-8507	10.1895/wormbook.1.17.1	http://www.wormbook.org
Hodgkin, Jonathan	Karyotype, ploidy and gene dosage	The C. elegans Research Community	WormBook	WormBook	June 25, 2005	1551-8507	10.1895/wormbook.1.3.1	http://www.wormbook.org
Kemphues, Kenneth	Essential genes	The C. elegans Research Community	WormBook	WormBook	December 24, 2005	1551-8507	10.1895/wormbook.1.57.1	http://www.wormbook.org
Woollard, Alison	Gene duplications and genetic redundancy in C. elegans	The C. elegans Research Community	WormBook	WormBook	June 25, 2005	1551-8507	10.1895/wormbook.1.2.1	http://www.wormbook.org
Yook, Karen	Complementation	The C. elegans Research Community	WormBook	WormBook	October 06, 2005	1551-8507	10.1895/wormbook.1.24.1	http://www.wormbook.org
Hodgkin, Jonathan	Genetic suppression	The C. elegans Research Community	WormBook	WormBook	December 27, 2005	1551-8507	10.1895/wormbook.1.59.1	http://www.wormbook.org
Yochem, John//Herman, Robert K.	Genetic enhancers	The C. elegans Research Community	WormBook	WormBook	September 16, 2005	1551-8507	10.1895/wormbook.1.27.1	http://www.wormbook.org
Herman, Robert K.//Yochem, John	Genetic mosaics	The C. elegans Research Community	WormBook	WormBook	December 27, 2005	1551-8507	10.1895/wormbook.1.58.1	http://www.wormbook.org
Spieth, John//Lawson, Daniel	Overview of gene structure	The C. elegans Research Community	WormBook	WormBook	January 18, 2006	1551-8507	10.1895/wormbook.1.65.1	http://www.wormbook.org
Schwarz, Erich M.	Genomic classification of protein-coding gene families	The C. elegans Research Community	WormBook	WormBook	September 23, 2005	1551-8507	10.1895/wormbook.1.29.1	http://www.wormbook.org
Stricklin, Shawn L.//Griffiths-Jones, Sam//Eddy, Sean R.	C. elegans noncoding RNA genes	The C. elegans Research Community	WormBook	WormBook	June 25, 2005	1551-8507	10.1895/wormbook.1.1.1	http://www.wormbook.org
Bessereau, Jean-Louis	Transposons in C. elegans	The C. elegans Research Community	WormBook	WormBook	January 18, 2006	1551-8507	10.1895/wormbook.1.70.1	http://www.wormbook.org
Lemire, Bernard	Mitochondrial genetics	The C. elegans Research Community	WormBook	WormBook	September 14, 2005	1551-8507	10.1895/wormbook.1.25.1	http://www.wormbook.org
